Name,Platform,Year_of_Release,Genre,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,User_Score,Rating
NBA 2K14,PS3,2013,Sports,1.44,0.31,0.04,0.32,2.11,84,4.9,E
Parasite Eve,PS,1998,Role-Playing,0.94,0.07,1.05,0.04,2.1,81,8.9,M
Tetris DS,DS,2006,Puzzle,0.63,0.05,1.35,0.08,2.1,84,8.7,E
Project Gotham Racing (JP weekly sales),XB,2002,Action,1.54,0.44,0.04,0.07,2.1,,,
Scooby-Doo! Night of 100 Frights,PS2,2002,Platform,1.17,0.72,0,0.22,2.1,,,
Battlefield: Hardline,PS4,2015,Shooter,0.71,0.94,0.14,0.32,2.1,73,5,M
Mortal Kombat,X360,2011,Fighting,1.63,0.31,0,0.16,2.1,86,8.3,M
Borderlands,PS3,2009,Shooter,1.2,0.6,0,0.29,2.09,83,7.9,M
Devil May Cry 3: Dante's Awakening,PS2,2005,Action,0.99,0.63,0.29,0.19,2.09,84,9,M
Derby Stallion,PS,1997,Sports,0,0,1.96,0.14,2.09,,,
NBA 2K11,X360,2010,Action,1.84,0.12,0.01,0.13,2.09,89,8.1,E
Finding Nemo,PS2,2003,Action,1.26,0.6,0.05,0.18,2.09,,,
Dying Light,PS4,2015,Action,0.96,0.67,0.12,0.34,2.09,74,7.9,M
Yokai Watch,3DS,2013,Role-Playing,0.25,0.45,1.33,0.05,2.09,,,
Dead Rising,X360,2006,Action,1.16,0.64,0.08,0.2,2.08,85,7.6,M
World of Warcraft: Cataclysm,PC,2010,Role-Playing,1.77,0.32,0,0,2.08,90,5.6,T
Tetris Worlds,PS2,2002,Puzzle,1.11,0.71,0,0.27,2.08,44,6.2,E
Final Fantasy III,DS,2006,Role-Playing,0.89,0.04,1.07,0.09,2.08,77,7.1,E10+
Sim Theme Park,PC,1998,Strategy,2.04,0.04,0,0,2.08,,8.3,E
Mario Party 5,GC,2003,Misc,0.97,0.33,0.73,0.06,2.08,69,8.2,E
Rock Band,Wii,N/A,Misc,1.33,0.56,0,0.2,2.08,80,6.3,T
Warcraft: Orcs & Humans,PC,1994,Strategy,0.89,1.08,0,0.11,2.08,,,
Mario & Luigi: Dream Team,3DS,2013,Role-Playing,0.89,0.58,0.46,0.14,2.08,,,
Portal 2,X360,2011,Shooter,1.41,0.49,0.01,0.17,2.08,95,8.5,E10+
Mario Sports Mix,Wii,2010,Sports,0.88,0.44,0.63,0.12,2.08,64,7.1,E
Need for Speed: Most Wanted 5-1-0,PSP,2005,Racing,1.77,0.12,0.02,0.17,2.07,72,7.8,E10+
Spec Ops: Airborne Commando,PS,2002,Shooter,1.54,0.46,0,0.08,2.07,,,
The Sims 2: Pets,DS,2006,Simulation,0.92,0.93,0,0.22,2.07,49,5.2,E
Dance Dance Revolution: Hottest Party,Wii,2007,Simulation,1.35,0.52,0,0.19,2.07,73,7.1,E10+
DriveClub,PS4,2014,Racing,0.36,1.38,0.02,0.31,2.07,71,6.1,E
Yu-Gi-Oh! The Eternal Duelist Soul,GBA,2001,Strategy,1.64,0.36,0,0.07,2.07,,,
UFC 2009 Undisputed,X360,2009,Fighting,1.48,0.39,0,0.19,2.06,83,7.9,T
Metal Gear Solid: Peace Walker,PSP,2010,Action,0.46,0.41,0.96,0.24,2.06,89,8.9,T
Kirby's Epic Yarn,Wii,2010,Platform,1.42,0.09,0.45,0.1,2.06,,,
Wipeout: The Game,Wii,2009,Misc,1.94,0,0,0.12,2.06,,,
Pokemon Mystery Dungeon: Red/Blue Rescue Team,GBA,2005,Role-Playing,0.71,0.52,0.74,0.08,2.06,,,
The Incredibles,GBA,2004,Action,1.15,0.77,0.04,0.1,2.06,55,,E
R4: Ridge Racer Type 4,PS,1998,Racing,0.68,0.46,0.79,0.13,2.06,88,9.2,
Kingdom Hearts: Birth by Sleep,PSP,2010,Role-Playing,0.63,0.41,0.75,0.26,2.06,82,8.6,E10+
Tom Clancy's Splinter Cell: Conviction,X360,2010,Action,1.2,0.62,0.04,0.19,2.06,,,
SoulCalibur II,PS2,2003,Fighting,1.06,0.62,0.13,0.25,2.06,92,8.8,T
Need for Speed: ProStreet,X360,2007,Racing,1.04,0.79,0.01,0.21,2.05,72,7.1,E10+
Sonic Mega Collection,GC,2002,Misc,1.47,0.48,0.05,0.06,2.05,75,8.8,E
Ghostbusters: The Video Game (DS Version),PS3,2010,Action,0.6,0.96,0.13,0.36,2.05,,,
Madden NFL 15,X360,2014,Sports,1.77,0.06,0,0.22,2.05,,5.5,E
Need For Speed: Undercover,PS3,2008,Racing,0.63,1,0.05,0.38,2.05,59,5.9,T
Toy Story 3: The Video Game,DS,2010,Action,0.89,0.94,0.02,0.21,2.05,,,
NBA Jam,GEN,1992,Sports,1.75,0.25,0,0.05,2.05,,,
SOCOM: U.S. Navy SEALs: Combined Assault,PS2,2006,Shooter,1.74,0.02,0,0.28,2.04,72,9,T
Peter Jackson's King Kong: The Official Game of the Movie,PS2,2005,Action,0.71,1.02,0,0.31,2.04,82,8.2,T
Need for Speed: ProStreet,PS3,2007,Racing,0.73,0.91,0.04,0.36,2.04,73,6,E10+
Donkey Kong Country,GBA,2003,Platform,1.2,0.48,0.29,0.07,2.04,78,8.9,E
Dance Central 2,X360,2011,Misc,1.45,0.41,0.01,0.16,2.04,86,8.2,T
PGR4 - Project Gotham Racing 4,X360,2007,Racing,0.48,1.28,0.02,0.25,2.04,,,
1080°: TenEighty Snowboarding,N64,1998,Sports,1.25,0.61,0.13,0.05,2.03,,,
Carnival Games,DS,2008,Misc,1.21,0.63,0,0.19,2.03,48,3.3,E
NBA Live 2004,PS2,2003,Sports,1.57,0.18,0,0.27,2.03,86,7.7,E
Call of Duty 2,X360,2005,Shooter,1.82,0.04,0.01,0.16,2.03,89,8.1,T
Rayman Raving Rabbids: TV Party,Wii,2008,Misc,0.72,1.08,0,0.23,2.03,73,7.7,E10+
Pokémon Mystery Dungeon: Blue Rescue Team,DS,2005,Role-Playing,1.15,0.04,0.83,0,2.02,62,8.1,E
Dark Souls,PS3,2011,Role-Playing,0.75,0.51,0.54,0.22,2.02,89,8.7,M
Just Dance 3,X360,2011,Misc,1.47,0.39,0,0.16,2.02,70,7.7,E10+
Battlefield 4,XOne,2013,Shooter,1.25,0.58,0,0.19,2.02,81,6.6,M
Fire Emblem: Awakening,3DS,2012,Role-Playing,0.9,0.45,0.54,0.13,2.01,92,9.1,T
Need for Speed: The Run,PS3,2011,Action,0.58,1.04,0.03,0.36,2.01,64,6.4,T
Just Dance 2015,Wii,2014,Misc,0.99,0.85,0,0.17,2.01,,8.4,E10+
Dragon Age: Inquisition,PS4,2014,Role-Playing,0.73,0.88,0.08,0.32,2.01,89,7.4,M
Super Street Fighter II,SNES,1993,Fighting,0.52,0.16,1.29,0.03,2,,,
Dead Space,PS3,2008,Action,1.05,0.66,0,0.29,2,88,8.8,M
Mortal Kombat vs. DC Universe,PS3,2008,Fighting,1.48,0.28,0,0.23,2,76,7.1,T
TouchMaster,DS,2007,Puzzle,0.48,1.27,0,0.24,2,71,5.7,E10+
Tenchu: Stealth Assassins,PS,1997,Action,0.95,0.64,0.27,0.13,1.99,87,8.8,M
Tennis,GB,1989,Sports,0.75,0.3,0.9,0.04,1.99,,,
Harry Potter and the Chamber of Secrets,GBA,2002,Action,1.21,0.64,0.05,0.09,1.99,76,7.9,E
Kingdom Hearts 358/2 Days,DS,2009,Role-Playing,1.06,0.26,0.53,0.13,1.98,75,7.8,E10+
Skate 3,PS3,2010,Sports,0.79,0.88,0,0.32,1.98,80,7.6,T
SimCity,SNES,1991,Simulation,0.93,0.27,0.75,0.04,1.98,,,
Harry Potter and the Chamber of Secrets,PS,2002,Action,0.75,1.09,0.02,0.12,1.98,,8.5,E
Need for Speed Rivals,PS4,2013,Racing,0.73,0.92,0.03,0.3,1.98,80,6.2,E10+
Spyro: Enter the Dragonfly,PS2,2002,Platform,0.74,0.95,0,0.28,1.97,56,4.1,E
Devil May Cry 2,PS2,2003,Action,0.71,0.58,0.51,0.17,1.97,68,6.6,M
E.T.: The Extra Terrestrial,2600,1981,Action,1.84,0.11,0,0.02,1.97,,,
Hot Shots Golf: Open Tee,PSP,2004,Sports,0.5,0.5,0.63,0.33,1.96,81,8.7,E10+
Minecraft,PSV,2014,Misc,0.18,0.64,0.9,0.24,1.96,,,
Soccer,NES,1985,Sports,0.18,0.23,1.53,0.02,1.96,,,
Rad Racer,NES,1986,Racing,1.13,0.37,0.41,0.05,1.96,,,
Forza Horizon,X360,2012,Racing,0.82,0.93,0.04,0.18,1.96,85,8.4,T
Tom Clancy's Rainbow Six: Vegas,X360,2006,Shooter,1.09,0.65,0.02,0.2,1.95,88,8.3,M
Crash Nitro Kart,PS2,2003,Racing,0.74,1.01,0,0.2,1.95,69,7.7,E
Resident Evil 6,X360,2012,Shooter,1.12,0.6,0.07,0.16,1.95,67,5,M
Grand Theft Auto: San Andreas,XB,2005,Action,1.26,0.61,0,0.09,1.95,93,8.6,AO
Star Wars: Dark Forces,PC,1994,Shooter,1.09,0.77,0,0.09,1.95,,,
NBA Street Vol. 2,PS2,2003,Sports,1.69,0.2,0,0.06,1.95,90,8.8,E
Def Jam Vendetta,PS2,2003,Fighting,0.95,0.74,0,0.25,1.94,80,8.9,T
Kirby Squeak Squad,DS,2006,Platform,0.78,0.02,1.05,0.08,1.94,71,8.1,E
Burnout Paradise,PS3,2008,Racing,1.01,0.62,0.02,0.29,1.94,87,7.7,E10+
Who wants to be a millionaire,PC,1999,Misc,1.94,0,0,0,1.94,,,E
Alleyway,GB,1989,Puzzle,0.96,0.38,0.55,0.05,1.94,,,
Scooby Doo and the Cyber Chase,PS,2001,Adventure,0.59,1.23,0,0.13,1.94,,7.4,E
The Sims 3,PS3,2010,Simulation,0.73,0.89,0.02,0.3,1.94,78,6.4,T
FIFA Soccer 09,X360,2008,Sports,0.49,1.26,0.01,0.18,1.94,87,8,E
Dragon Ball Z: Budokai 3,PS2,2004,Fighting,1.09,0.15,0.65,0.04,1.94,77,8.9,T
Call of Duty: World at War,Wii,2008,Shooter,1.17,0.58,0,0.18,1.94,83,7.6,M
Jet Moto 2,PS,1997,Racing,1.41,0.42,0.03,0.07,1.94,,,
Tom Clancy's Ghost Recon,PS2,2002,Shooter,1.42,0.4,0,0.12,1.94,63,8.3,M
BioShock Infinite,X360,2013,Shooter,1.22,0.54,0.02,0.16,1.93,93,8.5,M
X-Men Legends,PS2,2004,Role-Playing,1,0.72,0,0.21,1.93,79,8.5,T
Mortal Kombat II,SNES,1993,Fighting,1.48,0.39,0,0.06,1.93,,,
Virtua Fighter 2,SAT,1995,Fighting,0.34,0.26,1.3,0.03,1.93,,,
Mortal Kombat vs. DC Universe,X360,2008,Fighting,1.53,0.23,0,0.16,1.93,72,7.5,T
Destiny: The Taken King,PS4,2015,Shooter,0.78,0.79,0.04,0.31,1.93,86,6,T
Tetris DX,GB,1998,Puzzle,1.06,0.6,0.2,0.07,1.93,,,
The Legend of Zelda: Oracle of Ages,GB,2001,Action,0.92,0.53,0.41,0.06,1.92,,,
Destiny,X360,2014,Shooter,1.31,0.43,0,0.18,1.92,,4.7,T
Red Faction,PS2,2001,Shooter,0.76,0.96,0,0.2,1.92,88,8,M
The Sims: Makin' Magic,PC,2003,Simulation,1.03,0.8,0,0.09,1.92,80,8.6,T
Mario Party: Island Tour,3DS,2013,Misc,0.62,0.64,0.55,0.11,1.92,57,6.3,E
MX Unleashed,PS2,2004,Racing,0.94,0.73,0,0.25,1.92,80,9.2,E
PaRappa The Rapper,PS,1996,Misc,0.26,0.16,1.46,0.03,1.92,92,7.4,K-A
Guitar Hero: World Tour,PS3,2008,Misc,1.1,0.55,0,0.27,1.92,84,7.5,T
Need for Speed: Shift,X360,2009,Racing,0.73,0.96,0.01,0.22,1.91,83,6.5,E
Mario Party 3,N64,2000,Misc,0.72,0.16,1.01,0.02,1.91,,,
Diablo III,PS3,2013,Role-Playing,0.72,0.75,0.15,0.29,1.91,86,6.4,M
LittleBigPlanet 3,PS4,2014,Platform,0.66,0.93,0.01,0.31,1.91,79,7.1,E
Star Wars Rogue Leader: Rogue Squadron II,GC,2001,Simulation,1.03,0.75,0.03,0.09,1.9,90,8.6,T
Tomb Raider (2013),X360,2013,Action,0.86,0.84,0.01,0.17,1.89,,,
Mario Super Sluggers,Wii,2008,Sports,1.48,0,0.29,0.12,1.89,69,7.8,E
Donkey Kong Country Returns,3DS,2013,Platform,0.74,0.62,0.41,0.13,1.89,,,
Monopoly,Wii,2008,Misc,0.86,0.83,0,0.2,1.89,70,7.8,E
Madden NFL 09,PS3,2008,Sports,1.56,0.14,0,0.18,1.88,85,4.4,E
Batman: Arkham Origins,X360,2013,Action,1.15,0.56,0,0.17,1.88,74,7.5,T
Game Party 2,Wii,2008,Misc,1.28,0.43,0,0.17,1.88,29,4.6,E
Yu-Gi-Oh! Forbidden Memories,PS,1999,Role-Playing,1.37,0.44,0,0.08,1.88,,,
Mortal Kombat: Deception,PS2,2004,Fighting,0.92,0.72,0,0.24,1.88,81,8.5,M
Hot Shots Golf 2,PS,1999,Sports,0.25,0.12,1.48,0.03,1.88,,,
Medal of Honor: European Assault (All Region sales),PS2,2005,Shooter,0.89,0.69,0.09,0.21,1.88,,,
NBA 2K17,PS4,2016,Sports,1.25,0.27,0.02,0.34,1.88,88,6.7,E
Toy Story Mania!,Wii,2009,Misc,1.04,0.66,0,0.18,1.88,49,6.6,E
WCW Nitro,PS,1998,Fighting,1.42,0.36,0.03,0.07,1.88,,,
High School Musical: Sing It!,PS2,2007,Misc,0.47,0.08,0,1.33,1.87,,,
Star Fox Adventures,GC,2002,Adventure,0.96,0.53,0.3,0.09,1.87,82,7.7,T
FIFA 2000,PS,1998,Sports,0.22,1.47,0.04,0.14,1.87,,,
Madden NFL 25,PS3,2013,Sports,1.6,0.03,0,0.24,1.87,76,4.1,E
Dynasty Warriors 3,PS2,2001,Action,0.53,0.16,1.07,0.1,1.87,78,9.1,T
The Legend of Zelda: Oracle of Seasons,GB,2001,Adventure,0.87,0.52,0.41,0.06,1.86,,,
Ratchet & Clank Future: A Crack in Time,PS3,2009,Platform,1.05,0.53,0.03,0.26,1.86,,,
Madden NFL 06,XB,2005,Sports,1.75,0.03,0,0.08,1.86,86,6.7,E
Shrek 2,PS2,2004,Platform,1.12,0.69,0.03,0.02,1.86,71,8.5,E
Turok 2: Seeds of Evil,N64,1997,Platform,1.37,0.41,0.04,0.04,1.86,,,
The Legend of Dragoon,PS,1999,Role-Playing,0.94,0.44,0.39,0.1,1.86,74,8.4,T
SingStar,PS2,2004,Misc,0,1.37,0,0.49,1.86,,,
Star Wars: The Force Unleashed,Wii,2008,Action,1.11,0.56,0,0.18,1.86,71,7.9,T
NBA Live 2002,PS2,2001,Sports,0.91,0.71,0,0.24,1.86,70,7.4,E
Just Cause 3,PS4,2015,Action,0.47,1.03,0.07,0.28,1.86,73,6.5,M
Chrono Cross,PS,1999,Role-Playing,0.62,0.42,0.69,0.12,1.86,94,8.1,T
Jak 3,PS2,2004,Platform,1.33,0.49,0,0.03,1.85,84,8.6,T
Kingdom Hearts: Chain of Memories,GBA,2004,Role-Playing,1.26,0.18,0.35,0.06,1.85,76,7.9,E
Pinball,NES,1984,Action,0.8,0.19,0.83,0.03,1.85,,,
Max Payne 3,PS3,2012,Shooter,0.59,0.89,0.06,0.3,1.85,87,7.8,M
Gran Turismo Concept 2001 Tokyo,PS2,2001,Racing,0,1.1,0.42,0.33,1.84,,,
LEGO Marvel Super Heroes,PS3,2013,Action,0.77,0.76,0.01,0.29,1.84,82,7.9,E10+
Phineas and Ferb,DS,2009,Action,1.32,0.37,0,0.15,1.84,80,4.5,E
NCAA Football 06,PS2,2005,Sports,1.53,0.05,0,0.25,1.84,87,8.5,E
"Hey You, Pikachu!",N64,1998,Simulation,0.83,0.06,0.93,0,1.83,,,
Rayman Raving Rabbids 2,Wii,2007,Misc,0.82,0.82,0,0.2,1.83,67,8.3,E10+
2 Games in 1: Sonic Advance & ChuChu Rocket!,GBA,2005,Misc,1.31,0.49,0,0.03,1.83,,,
Jet Moto,PS,1996,Racing,1.33,0.4,0.03,0.07,1.83,,,
Kirby: Triple Deluxe,3DS,2014,Platform,0.61,0.34,0.79,0.09,1.83,80,8.8,E
Secret of Mana,SNES,1993,Role-Playing,0.25,0.07,1.49,0.02,1.83,,,
GoldenEye 007 (2010),Wii,2010,Action,0.84,0.7,0.13,0.16,1.83,,,
Sonic Classic Collection,DS,2010,Platform,0.92,0.73,0,0.17,1.83,70,7.5,E
Air Combat,PS,1995,Simulation,0.92,0.33,0.52,0.05,1.83,,,
Diablo III,PS4,2014,Role-Playing,0.51,0.98,0.06,0.28,1.82,,,M
inFAMOUS 2,PS3,2011,Action,1.05,0.47,0.08,0.22,1.82,83,8.4,T
World of Warcraft: Mists of Pandaria,PC,2012,Role-Playing,0.84,0.76,0,0.22,1.82,82,4.8,T
Sonic & Knuckles,GEN,1994,Platform,1.24,0.43,0.03,0.12,1.82,,,
Namco Museum,PS2,2001,Misc,1.73,0.07,0,0.02,1.82,72,6,E
The Sims: Hot Date,PC,2001,Simulation,1.81,0,0,0,1.82,85,7.9,T
Demon's Souls,PS3,2009,Role-Playing,0.97,0.33,0.35,0.17,1.82,89,8.9,M
The Orange Box,X360,2007,Shooter,1.09,0.53,0.02,0.17,1.82,96,8.9,M
DDRMAX2: Dance Dance Revolution,PS2,2003,Simulation,1.05,0.59,0,0.18,1.81,82,8.2,E
Crazy Taxi,DC,2000,Racing,1.1,0.51,0.12,0.08,1.81,,,
Virtua Fighter 4,PS2,2002,Fighting,0.78,0.44,0.56,0.04,1.81,94,8,T
Mafia III,PS4,2016,Action,0.42,1.08,0.03,0.28,1.81,68,5.1,M
Sly 2: Band of Thieves,PS2,2004,Platform,0.88,0.69,0,0.23,1.81,88,9,E
Guitar Hero: World Tour,PS2,2008,Misc,1,0.03,0,0.77,1.8,,8,T
Sonic Advance 2,GBA,2002,Platform,0.93,0.59,0.21,0.07,1.8,83,8.3,E
Madden NFL 07,X360,2006,Sports,1.66,0,0.01,0.13,1.8,80,6,E
NFL GameDay 2000,PS,1999,Sports,1,0.68,0,0.12,1.8,,,
NBA 2K11,PS3,2010,Action,1.41,0.2,0.03,0.16,1.8,89,7.6,E
Forza Motorsport 6,XOne,2015,Racing,0.73,0.9,0.03,0.14,1.8,87,7.9,E
The Evil Within,PS4,2014,Action,0.55,0.86,0.11,0.27,1.79,75,7.3,M
Metroid Prime 3: Corruption,Wii,2007,Shooter,0.89,0.74,0.07,0.09,1.79,90,8.9,T
The Legend of Zelda: The Wind Waker,WiiU,2013,Action,0.92,0.6,0.14,0.14,1.79,,,
Disney's The Lion King,SNES,1994,Platform,1.26,0.39,0.08,0.06,1.79,,,
Professor Layton and the Mask of Miracle,3DS,2011,Puzzle,0.32,0.97,0.36,0.13,1.79,,,
Midnight Club II,PS2,2003,Racing,1.25,0.29,0,0.24,1.78,85,8.5,T
SpongeBob SquarePants: SuperSponge,PS,2001,Action,1.12,0.58,0,0.08,1.78,,,
The Getaway: Black Monday,PS2,2004,Action,0.39,1.01,0.02,0.36,1.78,57,7.6,M
50 Cent: Bulletproof,PS2,2005,Action,0.85,0.76,0,0.16,1.77,47,6.6,M
Final Fantasy II,SNES,1991,Role-Playing,0.24,0.09,1.33,0.12,1.77,,,
Kirby 64: The Crystal Shards,N64,2000,Platform,0.63,0.06,1.03,0.04,1.77,,,
Dead or Alive 3,XB,2001,Fighting,1.19,0.29,0.24,0.06,1.77,87,8.6,T
Dragon Quest Monsters: Joker,DS,2006,Role-Playing,0.23,0.02,1.49,0.02,1.76,75,7.4,E10+
LEGO Star Wars III: The Clone Wars,Wii,2011,Action,1.01,0.6,0,0.15,1.76,76,7.7,E10+
High School Musical: Sing It!,Wii,2007,Misc,1.15,0.45,0,0.16,1.76,,,
Metroid II: Return of Samus,GB,1991,Adventure,0.85,0.31,0.56,0.04,1.76,,,
WWF Attitude,PS,1998,Fighting,1.27,0.42,0,0.07,1.76,,,
UFC 2009 Undisputed,PS3,2009,Fighting,1.07,0.44,0.01,0.24,1.76,84,8.1,T
The SpongeBob SquarePants Movie,PS2,2004,Platform,1.06,0.54,0,0.16,1.76,75,9,E
Golden Sun,GBA,2001,Role-Playing,0.93,0.38,0.4,0.06,1.76,91,9.3,E
Sonic the Hedgehog 3,GEN,1994,Platform,1.02,0.47,0.2,0.07,1.76,,,
Kid Icarus,NES,1986,Platform,0.53,0.12,1.09,0.02,1.76,,,
Def Jam: Fight for NY,PS2,2004,Fighting,0.86,0.67,0,0.22,1.76,83,8.9,M
Tom Clancy's Ghost Recon,XB,2002,Shooter,1.23,0.46,0,0.07,1.76,84,6.1,M
State of Emergency,PS2,2002,Action,0.86,0.67,0,0.22,1.76,71,5.7,M
2 Games in 1 Double Pack: The Incredibles / Finding Nemo: The Continuing Adventures,GBA,2007,Action,1.26,0.47,0,0.03,1.76,,,
The Urbz: Sims in the City,PS2,2004,Simulation,0.52,0.95,0,0.29,1.76,70,8.2,T
Star Wars: Starfighter,PS2,2001,Simulation,0.61,0.87,0.02,0.26,1.76,84,8,T
Madden NFL 2000,PS,1998,Sports,1.68,0.04,0,0.04,1.75,,,
Star Wars: Battlefront,XB,2004,Shooter,1.24,0.45,0,0.07,1.75,80,9.1,T
Pro Evolution Soccer,PS2,2001,Sports,0.06,0.9,0.53,0.27,1.75,,,
Madden NFL 17,PS4,2016,Sports,1.25,0.17,0,0.32,1.75,82,4.9,E
Just Cause 2,PS3,2010,Action,0.45,0.92,0.06,0.32,1.75,83,8,M
Disney's Aladdin,SNES,1993,Platform,0.94,0.34,0.21,0.27,1.75,,,
Kirby's Adventure,NES,1993,Platform,0.79,0.14,0.8,0.02,1.75,,,
Yoshi,NES,1991,Puzzle,0.7,0.13,0.91,0.01,1.75,,,
The Elder Scrolls Online,PS4,2015,Role-Playing,0.67,0.79,0,0.29,1.75,,,
FIFA Soccer 08,PS3,2007,Sports,0.35,1.06,0.02,0.31,1.75,81,7.1,E
Crackdown,X360,2007,Shooter,1,0.53,0.03,0.18,1.75,83,8,M
Wii Party U,WiiU,2013,Misc,0.3,0.56,0.84,0.05,1.75,65,6.8,E
Dance Dance Revolution X,PS2,2008,Simulation,0.85,0.66,0.01,0.22,1.75,55,6.2,E10+
2 Games in 1: Disney Princess & The Lion King,GBA,2004,Misc,1.25,0.46,0,0.03,1.75,,,
Kingdom Hearts,PS3,2013,Role-Playing,0.9,0.35,0.25,0.24,1.74,,,
Star Wars Episode I: The Phantom Menace,PS,1999,Adventure,0.72,0.89,0.04,0.1,1.74,,,
Xenosaga Episode I: Der Wille zur Macht,PS2,2002,Role-Playing,0.63,0.49,0.45,0.17,1.74,83,8.7,T
Watch Dogs,PS3,2014,Action,0.56,0.81,0.1,0.27,1.74,,5.1,M
Kinect Star Wars,X360,2012,Action,1.05,0.52,0.03,0.14,1.74,55,3.5,T
Dragon's Dogma,PS3,2012,Role-Playing,0.41,0.44,0.72,0.17,1.74,78,8.3,M
Cruis'n USA,N64,1996,Racing,1.69,0.04,0,0.01,1.74,,,
Madden NFL 99,PS,1998,Sports,1.66,0.04,0,0.04,1.74,,,
The Order: 1886,PS4,2015,Shooter,0.61,0.78,0.06,0.27,1.74,63,6.6,M
SSX Tricky,PS2,2001,Sports,0.85,0.66,0,0.22,1.73,92,8.9,E
Knack,PS4,2013,Platform,0.43,0.68,0.42,0.2,1.73,54,6.5,E10+
Twisted Metal III,PS,1998,Action,1.48,0.2,0,0.05,1.73,,,
Harry Potter and the Sorcerer's Stone,GB,2001,Action,0.94,0.62,0.1,0.07,1.73,,,
Dragon Quest VI: Realms of Revelation,DS,2010,Role-Playing,0.2,0.14,1.35,0.03,1.73,78,8.1,T
Crash Bandicoot: The Huge Adventure,GBA,2002,Platform,0.95,0.7,0,0.08,1.73,78,7.9,E
Hitman: Absolution,X360,2012,Action,0.68,0.88,0.01,0.17,1.73,79,7.1,M
Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City,PS2,2003,Action,0.85,0.66,0,0.22,1.72,,,
The Crew,PS4,2014,Racing,0.35,1.08,0.03,0.26,1.72,61,5.4,T
Call of Duty: World at War Final Fronts,PS2,2008,Shooter,0.61,0.18,0,0.94,1.72,,,
NBA 2K15,XOne,2014,Sports,1.37,0.18,0,0.18,1.72,82,6.3,E
Madden NFL 2005,XB,2004,Sports,1.61,0.03,0,0.08,1.72,91,7.6,E
Star Ocean: Till The End of Time,PS2,2003,Role-Playing,0.8,0.21,0.55,0.15,1.72,80,7.7,T
Call of Duty: Modern Warfare 3,PC,2011,Shooter,0.41,0.98,0,0.32,1.72,78,2.5,M
Dishonored,X360,2012,Action,1.06,0.5,0.01,0.14,1.71,88,7.9,M
Toy Story 2: Buzz Lightyear to the Rescue!,PS,1998,Platform,0.99,0.64,0,0.08,1.71,,,
The Beatles: Rock Band,Wii,2009,Misc,1.17,0.39,0,0.15,1.71,89,8.9,T
Ace Combat 5: The Unsung War,PS2,2004,Simulation,0.88,0.34,0.32,0.18,1.71,84,9.1,T
Need for Speed Underground,XB,2003,Racing,1.09,0.55,0,0.07,1.71,83,8.7,E
Kanshuu Nippon Joushikiryoku Kentei Kyoukai: Imasara Hito ni wa Kikenai Otona no Joushikiryoku Training DS,DS,2006,Misc,0,0,1.71,0,1.71,,,
Tetris Worlds,GBA,2001,Puzzle,1.25,0.39,0,0.06,1.71,65,,E
Imagine: Teacher,DS,2008,Simulation,0.7,0.82,0,0.19,1.71,,,E
Call of Duty: Black Ops 3,X360,2015,Shooter,1.14,0.4,0,0.16,1.71,,,
Deal or No Deal,DS,2007,Misc,1.15,0.4,0,0.15,1.7,20,1.9,E
FIFA Soccer 10,PS2,2009,Sports,0.23,0.24,0,1.23,1.7,,8.4,E
Portal 2,PS3,2011,Shooter,0.83,0.6,0.02,0.24,1.7,95,8.4,E10+
Super Puyo Puyo,SNES,1993,Puzzle,0,0,1.69,0.01,1.7,,,
NCAA Football 07,PS2,2006,Sports,1.41,0.05,0,0.23,1.7,87,8.6,E
The Sims 3: Late Night Expansion Pack,PC,2010,Simulation,0.59,0.87,0,0.23,1.7,74,5.3,T
No Man's Sky,PS4,2016,Action,0.63,0.76,0.03,0.27,1.7,71,4.5,T
Ben 10: Protector of Earth,DS,2007,Action,0.68,0.82,0,0.19,1.7,,,
Cabela's Big Game Hunter 2010,Wii,2009,Sports,1.58,0,0,0.12,1.69,,7.8,T
SOCOM 3: U.S. Navy SEALs,PS2,2005,Shooter,1.22,0.34,0.04,0.1,1.69,82,8.8,M
BioShock Infinite,PS3,2013,Shooter,0.72,0.65,0.04,0.28,1.69,94,8.5,M
Jampack Winter '99,PS,1999,Misc,0.94,0.64,0,0.11,1.69,,,
Call of Duty: Black Ops 3,PS3,2015,Shooter,0.49,0.87,0.07,0.26,1.69,,,
WCW vs. nWo: World Tour,N64,1997,Fighting,1.37,0.28,0.03,0.02,1.69,,,
WCW/NWO Thunder,PS,1998,Fighting,1.1,0.48,0.04,0.07,1.69,,,
Harry Potter and the Sorcerer's Stone,GBA,2001,Action,0.87,0.66,0.08,0.08,1.69,64,7.1,E
Dragon Ball Z: The Legacy of Goku,GBA,2002,Role-Playing,1.52,0.12,0,0.05,1.69,53,6.9,E
Cooking Mama 3: Shop & Chop,DS,2009,Simulation,0.79,0.65,0.08,0.17,1.69,,,
Resident Evil 4,GC,2005,Action,0.98,0.42,0.22,0.06,1.69,96,9.4,M
Personal Trainer: Math,DS,2007,Puzzle,0.48,1.12,0,0.08,1.69,63,,E
Game Party 3,Wii,2009,Puzzle,1.4,0.16,0,0.12,1.68,37,,E
