Name,Platform,Year_of_Release,Genre,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,User_Score,Rating
Call of Duty 4: Modern Warfare,X360,2007,Shooter,5.93,2.36,0.13,0.9,9.31,94,8.4,M
Donkey Kong Country,SNES,1994,Platform,4.36,1.71,3,0.23,9.3,,,
Minecraft,X360,2013,Misc,5.7,2.65,0.02,0.81,9.18,,,
Animal Crossing: New Leaf,3DS,2012,Simulation,2.03,2.36,4.39,0.39,9.16,88,8.7,E
Mario Party DS,DS,2007,Misc,4.4,1.85,1.98,0.68,8.91,72,7.8,E
The Elder Scrolls V: Skyrim,X360,2011,Role-Playing,5.05,2.79,0.1,0.85,8.79,96,8.4,M
Super Mario Kart,SNES,1992,Racing,3.54,1.24,3.81,0.18,8.76,,,
FIFA 16,PS4,2015,Sports,1.12,6.12,0.06,1.28,8.57,82,4.3,E
Halo 2,XB,2004,Shooter,6.82,1.53,0.05,0.08,8.49,95,8.2,M
Wii Party,Wii,2010,Misc,1.75,3.47,2.49,0.67,8.38,68,7.4,E
Mario Party 8,Wii,2007,Misc,3.74,2.24,1.58,0.7,8.27,62,6.3,E
FIFA Soccer 13,PS3,2012,Action,1.06,5.01,0.13,1.97,8.16,88,6.6,E
GoldenEye 007,N64,1997,Shooter,5.8,2.01,0.13,0.15,8.09,,,
Pokemon Black 2/Pokemon White 2,DS,2012,Role-Playing,2.79,1.72,3.14,0.41,8.07,,,
Final Fantasy X,PS2,2001,Role-Playing,2.91,2.07,2.73,0.33,8.05,92,8.7,T
The Sims 3,PC,2009,Simulation,0.99,6.42,0,0.6,8.01,86,7.6,T
Mario & Sonic at the Olympic Games,Wii,2007,Sports,2.57,3.86,0.66,0.91,7.99,,,
Star Wars Battlefront (2015),PS4,2015,Shooter,2.99,3.49,0.22,1.28,7.98,,,
Final Fantasy VIII,PS,1999,Role-Playing,2.28,1.72,3.63,0.23,7.86,90,8.6,T
Pac-Man,2600,1982,Puzzle,7.28,0.45,0,0.08,7.81,,,
Pokémon Platinum Version,DS,2008,Role-Playing,2.76,1.72,2.69,0.54,7.72,83,8.5,E
Grand Theft Auto: Liberty City Stories,PSP,2005,Action,2.9,2.81,0.24,1.73,7.69,88,7.6,M
Call of Duty: Advanced Warfare,PS4,2014,Shooter,2.81,3.48,0.14,1.23,7.66,83,5.7,M
The Legend of Zelda: Ocarina of Time,N64,1998,Action,4.1,1.89,1.45,0.16,7.6,,,
FIFA 17,PS4,2016,Sports,0.66,5.75,0.08,1.11,7.59,85,5,E
Crash Bandicoot 2: Cortex Strikes Back,PS,1997,Platform,3.78,2.17,1.31,0.31,7.58,,,
Super Smash Bros. for Wii U and 3DS,3DS,2014,Fighting,3.27,1.37,2.43,0.48,7.55,,,
Super Mario Galaxy 2,Wii,2010,Platform,3.56,2.35,0.98,0.62,7.51,97,9.1,E
Super Mario Bros. 2,NES,1988,Platform,5.39,1.18,0.7,0.19,7.46,,,
Call of Duty: Black Ops 3,XOne,2015,Shooter,4.59,2.11,0.01,0.68,7.39,,,
Call of Duty: World at War,X360,2008,Shooter,4.81,1.88,0,0.69,7.38,84,7.6,M
Battlefield 3,X360,2011,Shooter,4.46,2.11,0.06,0.69,7.32,84,7.4,M
Need for Speed Underground,PS2,2003,Racing,3.27,2.83,0.08,1.02,7.2,85,8.6,E
Just Dance,Wii,2009,Misc,3.48,2.99,0,0.73,7.2,49,8,E10+
Battlefield 3,PS3,2011,Shooter,2.85,2.89,0.35,1.08,7.17,85,7.5,M
Fallout 4,PS4,2015,Role-Playing,2.53,3.27,0.24,1.13,7.16,87,6.5,M
Tekken 3,PS,1998,Fighting,3.27,2.22,1.4,0.29,7.16,96,9.1,T
The Legend of Zelda: Twilight Princess,Wii,2006,Action,3.74,2.14,0.6,0.68,7.15,95,9,T
Pokemon Sun/Moon,3DS,2016,Role-Playing,2.98,1.45,2.26,0.45,7.14,,,
Crash Bandicoot 3: Warped,PS,1998,Platform,3.68,1.75,1.42,0.28,7.13,91,8.9,E
Mario Kart 8,WiiU,2014,Racing,3.15,2.15,1.28,0.51,7.09,88,9.1,E
Super Smash Bros. Melee,GC,2001,Fighting,4.41,1.04,1.39,0.22,7.07,92,9.1,T
Mario Kart: Double Dash!!,GC,2003,Racing,4.12,1.77,0.87,0.19,6.95,,,
Need for Speed Underground 2,PS2,2004,Racing,2.71,3.02,0.08,1.09,6.9,82,8.6,E
Medal of Honor: Frontline,PS2,2002,Shooter,2.93,2.75,0.17,0.99,6.83,88,8.5,T
Crash Bandicoot,PS,1996,Platform,3.23,2.35,0.94,0.3,6.82,,,
Just Dance 4,Wii,2012,Misc,4.05,2.16,0,0.55,6.76,74,7.3,E10+
Gears of War 2,X360,2008,Shooter,4.15,1.9,0.06,0.64,6.75,93,7.7,M
Uncharted 3: Drake's Deception,PS3,2011,Action,2.77,2.75,0.19,1.03,6.74,92,8.3,T
Zumba Fitness,Wii,2010,Sports,3.45,2.59,0,0.66,6.71,,,E
Call of Duty 4: Modern Warfare,PS3,2007,Shooter,3.11,2.26,0.28,1.03,6.68,94,8.4,M
Uncharted 2: Among Thieves,PS3,2009,Action,3.27,2.2,0.21,0.98,6.66,96,8.8,T
FIFA 12,PS3,2011,Sports,0.84,4.3,0.11,1.39,6.65,,,
Big Brain Academy,DS,2005,Misc,1.66,2.75,1.6,0.62,6.62,74,7.4,E
The Legend of Zelda,NES,1986,Action,3.74,0.93,1.69,0.14,6.51,,,
Red Dead Redemption,PS3,2010,Action,2.79,2.53,0.17,0.99,6.49,95,8.8,M
